order_item_id,created_at,order_id,product_id,is_primary_item,price_usd,cogs_usd,year_month,gross_profit,margin_pct
1,2012-03-19 10:42:46,1,1,1,49.99,19.49,2012-03,30.5,61.01
2,2012-03-19 19:27:37,2,1,1,49.99,19.49,2012-03,30.5,61.01
3,2012-03-20 06:44:45,3,1,1,49.99,19.49,2012-03,30.5,61.01
4,2012-03-20 09:41:45,4,1,1,49.99,19.49,2012-03,30.5,61.01
5,2012-03-20 11:28:15,5,1,1,49.99,19.49,2012-03,30.5,61.01
6,2012-03-20 16:12:47,6,1,1,49.99,19.49,2012-03,30.5,61.01
7,2012-03-20 17:03:41,7,1,1,49.99,19.49,2012-03,30.5,61.01
8,2012-03-20 23:35:27,8,1,1,49.99,19.49,2012-03,30.5,61.01
9,2012-03-21 02:35:01,9,1,1,49.99,19.49,2012-03,30.5,61.01
10,2012-03-21 06:45:58,10,1,1,49.99,19.49,2012-03,30.5,61.01
11,2012-03-21 07:28:02,11,1,1,49.99,19.49,2012-03,30.5,61.01
12,2012-03-21 08:21:33,12,1,1,49.99,19.49,2012-03,30.5,61.01
13,2012-03-21 08:45:32,13,1,1,49.99,19.49,2012-03,30.5,61.01
14,2012-03-21 09:12:05,14,1,1,49.99,19.49,2012-03,30.5,61.01
15,2012-03-21 16:40:06,15,1,1,49.99,19.49,2012-03,30.5,61.01
16,2012-03-21 17:13:05,16,1,1,49.99,19.49,2012-03,30.5,61.01
17,2012-03-21 20:28:11,17,1,1,49.99,19.49,2012-03,30.5,61.01
18,2012-03-22 06:15:33,18,1,1,49.99,19.49,2012-03,30.5,61.01
19,2012-03-22 10:03:49,19,1,1,49.99,19.49,2012-03,30.5,61.01
20,2012-03-22 17:49:57,20,1,1,49.99,19.49,2012-03,30.5,61.01
21,2012-03-22 20:33:40,21,1,1,49.99,19.49,2012-03,30.5,61.01
22,2012-03-23 12:09:46,22,1,1,49.99,19.49,2012-03,30.5,61.01
23,2012-03-23 14:16:23,23,1,1,49.99,19.49,2012-03,30.5,61.01
24,2012-03-23 17:14:48,24,1,1,49.99,19.49,2012-03,30.5,61.01
25,2012-03-24 09:21:40,25,1,1,49.99,19.49,2012-03,30.5,61.01
26,2012-03-25 08:32:41,26,1,1,49.99,19.49,2012-03,30.5,61.01
27,2012-03-25 08:51:27,27,1,1,49.99,19.49,2012-03,30.5,61.01
28,2012-03-25 16:00:12,28,1,1,49.99,19.49,2012-03,30.5,61.01
29,2012-03-25 21:23:16,29,1,1,49.99,19.49,2012-03,30.5,61.01
30,2012-03-26 10:03:39,30,1,1,49.99,19.49,2012-03,30.5,61.01
31,2012-03-26 10:25:44,31,1,1,49.99,19.49,2012-03,30.5,61.01
32,2012-03-26 14:13:56,32,1,1,49.99,19.49,2012-03,30.5,61.01
33,2012-03-26 16:00:19,33,1,1,49.99,19.49,2012-03,30.5,61.01
34,2012-03-26 17:55:25,34,1,1,49.99,19.49,2012-03,30.5,61.01
35,2012-03-26 18:06:39,35,1,1,49.99,19.49,2012-03,30.5,61.01
36,2012-03-26 18:54:41,36,1,1,49.99,19.49,2012-03,30.5,61.01
37,2012-03-26 19:19:25,37,1,1,49.99,19.49,2012-03,30.5,61.01
38,2012-03-26 21:13:07,38,1,1,49.99,19.49,2012-03,30.5,61.01
39,2012-03-27 15:18:43,39,1,1,49.99,19.49,2012-03,30.5,61.01
40,2012-03-27 16:53:30,40,1,1,49.99,19.49,2012-03,30.5,61.01
41,2012-03-28 08:30:06,41,1,1,49.99,19.49,2012-03,30.5,61.01
42,2012-03-28 09:56:58,42,1,1,49.99,19.49,2012-03,30.5,61.01
43,2012-03-28 16:55:52,43,1,1,49.99,19.49,2012-03,30.5,61.01
44,2012-03-28 21:24:10,44,1,1,49.99,19.49,2012-03,30.5,61.01
45,2012-03-28 22:45:52,45,1,1,49.99,19.49,2012-03,30.5,61.01
46,2012-03-29 16:11:05,46,1,1,49.99,19.49,2012-03,30.5,61.01
47,2012-03-29 17:49:07,47,1,1,49.99,19.49,2012-03,30.5,61.01
48,2012-03-29 23:09:30,48,1,1,49.99,19.49,2012-03,30.5,61.01
49,2012-03-30 00:25:18,49,1,1,49.99,19.49,2012-03,30.5,61.01
50,2012-03-30 02:27:35,50,1,1,49.99,19.49,2012-03,30.5,61.01
51,2012-03-30 10:06:25,51,1,1,49.99,19.49,2012-03,30.5,61.01
52,2012-03-30 10:24:06,52,1,1,49.99,19.49,2012-03,30.5,61.01
53,2012-03-30 12:47:30,53,1,1,49.99,19.49,2012-03,30.5,61.01
54,2012-03-30 14:26:49,54,1,1,49.99,19.49,2012-03,30.5,61.01
55,2012-03-30 14:39:09,55,1,1,49.99,19.49,2012-03,30.5,61.01
56,2012-03-31 00:22:18,56,1,1,49.99,19.49,2012-03,30.5,61.01
57,2012-03-31 02:32:43,57,1,1,49.99,19.49,2012-03,30.5,61.01
58,2012-03-31 06:40:10,58,1,1,49.99,19.49,2012-03,30.5,61.01
59,2012-03-31 10:25:39,59,1,1,49.99,19.49,2012-03,30.5,61.01
60,2012-03-31 19:24:33,60,1,1,49.99,19.49,2012-03,30.5,61.01
61,2012-04-01 06:45:11,61,1,1,49.99,19.49,2012-04,30.5,61.01
62,2012-04-01 12:38:27,62,1,1,49.99,19.49,2012-04,30.5,61.01
63,2012-04-01 17:33:26,63,1,1,49.99,19.49,2012-04,30.5,61.01
64,2012-04-01 18:26:19,64,1,1,49.99,19.49,2012-04,30.5,61.01
65,2012-04-02 11:07:48,65,1,1,49.99,19.49,2012-04,30.5,61.01
66,2012-04-02 16:32:15,66,1,1,49.99,19.49,2012-04,30.5,61.01
67,2012-04-02 17:17:42,67,1,1,49.99,19.49,2012-04,30.5,61.01
68,2012-04-02 18:36:27,68,1,1,49.99,19.49,2012-04,30.5,61.01
69,2012-04-03 10:29:20,69,1,1,49.99,19.49,2012-04,30.5,61.01
70,2012-04-03 11:53:36,70,1,1,49.99,19.49,2012-04,30.5,61.01
71,2012-04-03 15:03:48,71,1,1,49.99,19.49,2012-04,30.5,61.01
72,2012-04-03 16:31:50,72,1,1,49.99,19.49,2012-04,30.5,61.01
73,2012-04-03 16:36:02,73,1,1,49.99,19.49,2012-04,30.5,61.01
74,2012-04-03 19:09:43,74,1,1,49.99,19.49,2012-04,30.5,61.01
75,2012-04-04 07:47:38,75,1,1,49.99,19.49,2012-04,30.5,61.01
76,2012-04-04 11:13:55,76,1,1,49.99,19.49,2012-04,30.5,61.01
77,2012-04-04 11:34:52,77,1,1,49.99,19.49,2012-04,30.5,61.01
78,2012-04-04 18:21:44,78,1,1,49.99,19.49,2012-04,30.5,61.01
79,2012-04-04 19:00:06,79,1,1,49.99,19.49,2012-04,30.5,61.01
80,2012-04-05 10:34:00,80,1,1,49.99,19.49,2012-04,30.5,61.01
81,2012-04-05 13:15:34,81,1,1,49.99,19.49,2012-04,30.5,61.01
82,2012-04-05 20:11:27,82,1,1,49.99,19.49,2012-04,30.5,61.01
83,2012-04-06 04:04:23,83,1,1,49.99,19.49,2012-04,30.5,61.01
84,2012-04-06 12:16:39,84,1,1,49.99,19.49,2012-04,30.5,61.01
85,2012-04-06 17:13:09,85,1,1,49.99,19.49,2012-04,30.5,61.01
86,2012-04-06 22:48:48,86,1,1,49.99,19.49,2012-04,30.5,61.01
87,2012-04-07 04:47:20,87,1,1,49.99,19.49,2012-04,30.5,61.01
88,2012-04-07 16:15:03,88,1,1,49.99,19.49,2012-04,30.5,61.01
89,2012-04-07 16:55:38,89,1,1,49.99,19.49,2012-04,30.5,61.01
90,2012-04-08 02:25:16,90,1,1,49.99,19.49,2012-04,30.5,61.01
91,2012-04-08 05:52:53,91,1,1,49.99,19.49,2012-04,30.5,61.01
92,2012-04-08 20:50:48,92,1,1,49.99,19.49,2012-04,30.5,61.01
93,2012-04-08 21:10:18,93,1,1,49.99,19.49,2012-04,30.5,61.01
94,2012-04-08 22:33:08,94,1,1,49.99,19.49,2012-04,30.5,61.01
95,2012-04-09 09:49:50,95,1,1,49.99,19.49,2012-04,30.5,61.01
96,2012-04-09 09:50:14,96,1,1,49.99,19.49,2012-04,30.5,61.01
97,2012-04-09 11:25:30,97,1,1,49.99,19.49,2012-04,30.5,61.01
98,2012-04-09 15:01:23,98,1,1,49.99,19.49,2012-04,30.5,61.01
99,2012-04-09 19:48:47,99,1,1,49.99,19.49,2012-04,30.5,61.01
100,2012-04-09 20:28:57,100,1,1,49.99,19.49,2012-04,30.5,61.01
101,2012-04-09 22:56:37,101,1,1,49.99,19.49,2012-04,30.5,61.01
102,2012-04-09 23:25:30,102,1,1,49.99,19.49,2012-04,30.5,61.01
103,2012-04-10 14:21:17,103,1,1,49.99,19.49,2012-04,30.5,61.01
104,2012-04-10 16:40:18,104,1,1,49.99,19.49,2012-04,30.5,61.01
105,2012-04-10 22:27:09,105,1,1,49.99,19.49,2012-04,30.5,61.01
106,2012-04-11 14:13:17,106,1,1,49.99,19.49,2012-04,30.5,61.01
107,2012-04-11 15:22:47,107,1,1,49.99,19.49,2012-04,30.5,61.01
108,2012-04-11 16:38:56,108,1,1,49.99,19.49,2012-04,30.5,61.01
109,2012-04-11 20:19:28,109,1,1,49.99,19.49,2012-04,30.5,61.01
110,2012-04-11 21:59:27,110,1,1,49.99,19.49,2012-04,30.5,61.01
111,2012-04-12 10:03:06,111,1,1,49.99,19.49,2012-04,30.5,61.01
112,2012-04-12 10:51:25,112,1,1,49.99,19.49,2012-04,30.5,61.01
113,2012-04-12 13:30:14,113,1,1,49.99,19.49,2012-04,30.5,61.01
114,2012-04-12 15:50:47,114,1,1,49.99,19.49,2012-04,30.5,61.01
115,2012-04-13 02:13:16,115,1,1,49.99,19.49,2012-04,30.5,61.01
116,2012-04-13 14:53:49,116,1,1,49.99,19.49,2012-04,30.5,61.01
117,2012-04-14 23:26:48,117,1,1,49.99,19.49,2012-04,30.5,61.01
118,2012-04-15 09:00:37,118,1,1,49.99,19.49,2012-04,30.5,61.01
119,2012-04-15 13:20:39,119,1,1,49.99,19.49,2012-04,30.5,61.01
120,2012-04-15 15:10:58,120,1,1,49.99,19.49,2012-04,30.5,61.01
121,2012-04-15 16:36:31,121,1,1,49.99,19.49,2012-04,30.5,61.01
122,2012-04-16 13:22:52,122,1,1,49.99,19.49,2012-04,30.5,61.01
123,2012-04-16 14:54:24,123,1,1,49.99,19.49,2012-04,30.5,61.01
124,2012-04-16 15:03:23,124,1,1,49.99,19.49,2012-04,30.5,61.01
125,2012-04-16 17:59:57,125,1,1,49.99,19.49,2012-04,30.5,61.01
126,2012-04-16 19:33:33,126,1,1,49.99,19.49,2012-04,30.5,61.01
127,2012-04-17 19:20:42,127,1,1,49.99,19.49,2012-04,30.5,61.01
128,2012-04-18 10:28:38,128,1,1,49.99,19.49,2012-04,30.5,61.01
129,2012-04-18 12:10:33,129,1,1,49.99,19.49,2012-04,30.5,61.01
