user_id,total_orders,lifetime_rev,avg_order_val,first_order,last_order,channel
13,1,49.99,49.99,2012-04-25 21:05:32,2012-04-25 21:05:32,gsearch
20,1,49.99,49.99,2012-03-19 10:42:46,2012-03-19 10:42:46,gsearch
59,1,49.99,49.99,2012-04-19 07:42:08,2012-04-19 07:42:08,direct
104,1,49.99,49.99,2012-03-19 19:27:37,2012-03-19 19:27:37,gsearch
147,1,49.99,49.99,2012-03-20 06:44:45,2012-03-20 06:44:45,gsearch
160,1,49.99,49.99,2012-03-20 09:41:45,2012-03-20 09:41:45,gsearch
167,1,49.99,49.99,2012-04-16 19:33:33,2012-04-16 19:33:33,direct
177,1,49.99,49.99,2012-03-20 11:28:15,2012-03-20 11:28:15,gsearch
210,1,49.99,49.99,2012-04-24 23:13:26,2012-04-24 23:13:26,direct
232,1,49.99,49.99,2012-03-20 16:12:47,2012-03-20 16:12:47,gsearch
241,1,49.99,49.99,2012-03-20 17:03:41,2012-03-20 17:03:41,gsearch
295,1,49.99,49.99,2012-03-20 23:35:27,2012-03-20 23:35:27,gsearch
304,1,49.99,49.99,2012-03-21 02:35:01,2012-03-21 02:35:01,gsearch
317,1,49.99,49.99,2012-03-21 06:45:58,2012-03-21 06:45:58,gsearch
321,1,49.99,49.99,2012-03-21 07:28:02,2012-03-21 07:28:02,gsearch
327,1,49.99,49.99,2012-03-21 08:21:33,2012-03-21 08:21:33,gsearch
332,1,49.99,49.99,2012-03-21 08:45:32,2012-03-21 08:45:32,gsearch
336,1,49.99,49.99,2012-03-21 09:12:05,2012-03-21 09:12:05,gsearch
383,1,49.99,49.99,2012-04-05 10:34:00,2012-04-05 10:34:00,direct
428,1,49.99,49.99,2012-03-21 16:40:06,2012-03-21 16:40:06,gsearch
434,1,49.99,49.99,2012-03-21 17:13:05,2012-03-21 17:13:05,gsearch
455,1,49.99,49.99,2012-04-17 19:20:42,2012-04-17 19:20:42,direct
465,1,49.99,49.99,2012-03-21 20:28:11,2012-03-21 20:28:11,gsearch
507,1,49.99,49.99,2012-03-22 06:15:33,2012-03-22 06:15:33,gsearch
536,1,49.99,49.99,2012-03-22 10:03:49,2012-03-22 10:03:49,gsearch
